===== runner cache v1 =====
runner: scripts/theta_assembly_paired_shift_fixed_grading_mckean_singer_2026_07_02.py
runner_sha256: 6492728548ea7d26b76793f603c6ef1a690b62688f75738b463b9b260b6b47da
timeout_sec: 120
exit_code: 0
elapsed_sec: 0.20
status: ok
----- stdout -----
| Gate | Quantity | Tolerance | Measured | Result |
| G2b[B2Q(0)] | Q-blind A_1 residual; sigma_min diagnostic | A_1<1.0e-10; sigma no gate | A1_resid=1.11022302462515654e-15; sigma_min=2.21301005575440376e-17 | PASS |
| G2b[B2Q(1)] | Q-blind A_1 residual; sigma_min diagnostic | A_1<1.0e-10; sigma no gate | A1_resid=7.29971638691040425e-15; sigma_min=4.41783507936554958e-17 | PASS |
| G2b[B2Q(-1)] | Q-blind A_1 residual; sigma_min diagnostic | A_1<1.0e-10; sigma no gate | A1_resid=7.29971638691040425e-15; sigma_min=4.41783507936554958e-17 | PASS |
| G2b[B2Q(2)] | Q-blind A_1 residual; sigma_min diagnostic | A_1<1.0e-10; sigma no gate | A1_resid=1.94289029309402395e-15; sigma_min=5.86239662106997310e-17 | PASS |
| G2b[B2Q(-2)] | Q-blind A_1 residual; sigma_min diagnostic | A_1<1.0e-10; sigma no gate | A1_resid=1.94289029309402395e-15; sigma_min=5.86239662106997310e-17 | PASS |
| G3[B4free,alpha=0.3,m=0.1] | slogdet logabs equality and determinant phase identity | log<1.0e-09; phase<1.0e-10 | log_resid=1.42108547152020037e-14; phase_resid=2.91393646794427307e-15 | PASS |
| G3[B4free,alpha=0.3,m=0.5] | slogdet logabs equality and determinant phase identity | log<1.0e-09; phase<1.0e-10 | log_resid=1.42108547152020037e-14; phase_resid=1.66976458451096373e-15 | PASS |
| G3[B4free,alpha=0.7,m=0.1] | slogdet logabs equality and determinant phase identity | log<1.0e-09; phase<1.0e-10 | log_resid=7.10542735760100186e-15; phase_resid=5.36620025422423109e-16 | PASS |
| G3[B4free,alpha=0.7,m=0.5] | slogdet logabs equality and determinant phase identity | log<1.0e-09; phase<1.0e-10 | log_resid=2.84217094304040074e-14; phase_resid=2.32071456886134650e-15 | PASS |
| G3[B4free,alpha=pi/3,m=0.1] | slogdet logabs equality and determinant phase identity | log<1.0e-09; phase<1.0e-10 | log_resid=3.55271367880050093e-14; phase_resid=1.18459386534184373e-16 | PASS |
| G3[B4free,alpha=pi/3,m=0.5] | slogdet logabs equality and determinant phase identity | log<1.0e-09; phase<1.0e-10 | log_resid=1.42108547152020037e-14; phase_resid=1.24802310199208968e-15 | PASS |
| G3[B4rand,alpha=0.3,m=0.1] | slogdet logabs equality and determinant phase identity | log<1.0e-09; phase<1.0e-10 | log_resid=3.90798504668055102e-14; phase_resid=1.81172247717811585e-14 | PASS |
| G3[B4rand,alpha=0.3,m=0.5] | slogdet logabs equality and determinant phase identity | log<1.0e-09; phase<1.0e-10 | log_resid=7.10542735760100186e-15; phase_resid=5.12657471082411504e-15 | PASS |
| G3[B4rand,alpha=0.7,m=0.1] | slogdet logabs equality and determinant phase identity | log<1.0e-09; phase<1.0e-10 | log_resid=8.88178419700125232e-15; phase_resid=8.00241963095440696e-15 | PASS |
| G3[B4rand,alpha=0.7,m=0.5] | slogdet logabs equality and determinant phase identity | log<1.0e-09; phase<1.0e-10 | log_resid=1.42108547152020037e-14; phase_resid=1.84605264881274186e-15 | PASS |
| G3[B4rand,alpha=pi/3,m=0.1] | slogdet logabs equality and determinant phase identity | log<1.0e-09; phase<1.0e-10 | log_resid=3.55271367880050093e-15; phase_resid=9.48269007025751048e-15 | PASS |
| G3[B4rand,alpha=pi/3,m=0.5] | slogdet logabs equality and determinant phase identity | log<1.0e-09; phase<1.0e-10 | log_resid=1.42108547152020037e-14; phase_resid=3.44794363427710040e-15 | PASS |
| G3[B2Q(1),alpha=0.3,m=0.1] | slogdet logabs equality and determinant phase identity | log<1.0e-09; phase<1.0e-10 | log_resid=0.00000000000000000e+00; phase_resid=7.64682840691782119e-16 | PASS |
| G3[B2Q(1),alpha=0.3,m=0.5] | slogdet logabs equality and determinant phase identity | log<1.0e-09; phase<1.0e-10 | log_resid=4.44089209850062616e-16; phase_resid=3.54658581424633528e-16 | PASS |
| G3[B2Q(1),alpha=0.7,m=0.1] | slogdet logabs equality and determinant phase identity | log<1.0e-09; phase<1.0e-10 | log_resid=0.00000000000000000e+00; phase_resid=5.74635737428243914e-16 | PASS |
| G3[B2Q(1),alpha=0.7,m=0.5] | slogdet logabs equality and determinant phase identity | log<1.0e-09; phase<1.0e-10 | log_resid=1.33226762955018785e-15; phase_resid=7.19896908384460678e-16 | PASS |
| G3[B2Q(1),alpha=pi/3,m=0.1] | slogdet logabs equality and determinant phase identity | log<1.0e-09; phase<1.0e-10 | log_resid=1.77635683940025046e-15; phase_resid=4.03368667388874770e-16 | PASS |
| G3[B2Q(1),alpha=pi/3,m=0.5] | slogdet logabs equality and determinant phase identity | log<1.0e-09; phase<1.0e-10 | log_resid=2.66453525910037570e-15; phase_resid=9.20582855313245169e-16 | PASS |
| G3[Btoy,alpha=0.3,m=0.1] | slogdet logabs equality and determinant phase identity | log<1.0e-09; phase<1.0e-10 | log_resid=2.22044604925031308e-16; phase_resid=1.11022302462515654e-16 | PASS |
| G3[Btoy,alpha=0.3,m=0.5] | slogdet logabs equality and determinant phase identity | log<1.0e-09; phase<1.0e-10 | log_resid=0.00000000000000000e+00; phase_resid=1.11022302462515654e-16 | PASS |
| G3[Btoy,alpha=0.7,m=0.1] | slogdet logabs equality and determinant phase identity | log<1.0e-09; phase<1.0e-10 | log_resid=4.44089209850062616e-16; phase_resid=2.61845576667213508e-16 | PASS |
| G3[Btoy,alpha=0.7,m=0.5] | slogdet logabs equality and determinant phase identity | log<1.0e-09; phase<1.0e-10 | log_resid=0.00000000000000000e+00; phase_resid=1.57009245868377517e-16 | PASS |
| G3[Btoy,alpha=pi/3,m=0.1] | slogdet logabs equality and determinant phase identity | log<1.0e-09; phase<1.0e-10 | log_resid=2.22044604925031308e-16; phase_resid=1.11022302462515654e-16 | PASS |
| G3[Btoy,alpha=pi/3,m=0.5] | slogdet logabs equality and determinant phase identity | log<1.0e-09; phase<1.0e-10 | log_resid=0.00000000000000000e+00; phase_resid=1.24126707662363656e-16 | PASS |
| G4[B4free,alpha=0.3,m=0.1] | measure deposit times mass-det shift | <1.0e-10 | invariance_resid=2.91393646794427307e-15 | PASS |
| G4[B4free,alpha=0.3,m=0.5] | measure deposit times mass-det shift | <1.0e-10 | invariance_resid=1.66976458451096373e-15 | PASS |
| G4[B4free,alpha=0.7,m=0.1] | measure deposit times mass-det shift | <1.0e-10 | invariance_resid=5.36620025422423109e-16 | PASS |
| G4[B4free,alpha=0.7,m=0.5] | measure deposit times mass-det shift | <1.0e-10 | invariance_resid=2.32071456886134650e-15 | PASS |
| G4[B4free,alpha=pi/3,m=0.1] | measure deposit times mass-det shift | <1.0e-10 | invariance_resid=1.18459386534184373e-16 | PASS |
| G4[B4free,alpha=pi/3,m=0.5] | measure deposit times mass-det shift | <1.0e-10 | invariance_resid=1.24802310199208968e-15 | PASS |
| G4[B4rand,alpha=0.3,m=0.1] | measure deposit times mass-det shift | <1.0e-10 | invariance_resid=1.81172247717811585e-14 | PASS |
| G4[B4rand,alpha=0.3,m=0.5] | measure deposit times mass-det shift | <1.0e-10 | invariance_resid=5.12657471082411504e-15 | PASS |
| G4[B4rand,alpha=0.7,m=0.1] | measure deposit times mass-det shift | <1.0e-10 | invariance_resid=8.00241963095440696e-15 | PASS |
| G4[B4rand,alpha=0.7,m=0.5] | measure deposit times mass-det shift | <1.0e-10 | invariance_resid=1.84605264881274186e-15 | PASS |
| G4[B4rand,alpha=pi/3,m=0.1] | measure deposit times mass-det shift | <1.0e-10 | invariance_resid=9.48269007025751048e-15 | PASS |
| G4[B4rand,alpha=pi/3,m=0.5] | measure deposit times mass-det shift | <1.0e-10 | invariance_resid=3.44794363427710040e-15 | PASS |
| G4[B2Q(1),alpha=0.3,m=0.1] | measure deposit times mass-det shift | <1.0e-10 | invariance_resid=7.64682840691782119e-16 | PASS |
| G4[B2Q(1),alpha=0.3,m=0.5] | measure deposit times mass-det shift | <1.0e-10 | invariance_resid=3.54658581424633528e-16 | PASS |
| G4[B2Q(1),alpha=0.7,m=0.1] | measure deposit times mass-det shift | <1.0e-10 | invariance_resid=5.74635737428243914e-16 | PASS |
| G4[B2Q(1),alpha=0.7,m=0.5] | measure deposit times mass-det shift | <1.0e-10 | invariance_resid=7.19896908384460678e-16 | PASS |
| G4[B2Q(1),alpha=pi/3,m=0.1] | measure deposit times mass-det shift | <1.0e-10 | invariance_resid=4.03368667388874770e-16 | PASS |
| G4[B2Q(1),alpha=pi/3,m=0.5] | measure deposit times mass-det shift | <1.0e-10 | invariance_resid=9.20582855313245169e-16 | PASS |
| G4[Btoy,alpha=0.3,m=0.1] | measure deposit times mass-det shift | <1.0e-10 | invariance_resid=5.96037985002822259e-17 | PASS |
| G4[Btoy,alpha=0.3,m=0.5] | measure deposit times mass-det shift | <1.0e-10 | invariance_resid=8.75380130025642529e-17 | PASS |
| G4[Btoy,alpha=0.7,m=0.1] | measure deposit times mass-det shift | <1.0e-10 | invariance_resid=2.45551874705944676e-16 | PASS |
| G4[Btoy,alpha=0.7,m=0.5] | measure deposit times mass-det shift | <1.0e-10 | invariance_resid=1.73784038490735611e-16 | PASS |
| G4[Btoy,alpha=pi/3,m=0.1] | measure deposit times mass-det shift | <1.0e-10 | invariance_resid=1.15880045472754345e-16 | PASS |
| G4[Btoy,alpha=pi/3,m=0.5] | measure deposit times mass-det shift | <1.0e-10 | invariance_resid=2.24512894665323291e-16 | PASS |
| G4[Btoy,alpha=0.7,m=0.5,nontriviality] | abs(mass-det shift - 1) | >1.0e-01 | nontriviality=1.28843537447538181e+00 | PASS |
| G5a[B2rand,wrong-eps] | broken-premise anticommutator magnitude | >1.0e-01 | anticom=1.00000000000000022e+00 | PASS |
| G5a[B2rand,wrong-eps] | wrong-grading determinant identity rejector | >1.0e-03 | phase_resid=1.94381779301609520e-01 | PASS |
| DIAG[G5a,B2rand,wrong-eps] | A_1(eps') diagnostic | no gate | A1_wrong=8.64590992243524648e-03 | INFO |
| G5b[B2rand,Dpert] | broken-anticommutation heat-index t-dependence | >1.0e-06 | abs(A0.3-A3.0)=1.79895233830061563e-01 | PASS |
| G6[Btoy,wrong-n] | reject tr(eps)+1 determinant phase | >1.0e-03 | phase_resid=1.28843537447538203e+00 | PASS |
| G6[B2Q(1),wrong-Q-as-n] | reject pretending n is set by Q | >1.0e-03 | phase_resid=1.28843537447538270e+00 | PASS |
| G7[Btoy,A_t] | toy A_t exactness over t=0.3,1.0,3.0 | <1.0e-10 | max_resid=4.44089209850062616e-16 | PASS |
| G7[Btoy,det] | toy determinant ratio exactness over G3 grid | <1.0e-10 | max_resid=2.61845576667213508e-16 | PASS |
TOTAL: PASS=82 FAIL=0

----- stderr -----

